Scan,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,Serial,Target
hansells 777027 a,0.3593528,0.3576476,0.3582808,0.3586778,0.356361,0.3562474,0.357337,0.3569263,0.3587262,0.3606324,0.362522,0.3646705,0.3690507,0.3725374,0.376292,0.3793908,0.3829678,0.3844361,0.3868368,0.3867103,0.3885607,0.389403,0.3891204,0.3897324,0.3888788,0.388673,0.3878468,0.3861057,0.3865663,0.3843264,0.3828742,0.3809156,0.3798229,0.3783296,0.3773234,0.3757869,0.3752913,0.3730961,0.3719873,0.3718444,0.3704324,0.3684633,0.3685379,0.3692058,0.3683349,0.3673805,0.3667209,0.3659705,0.3664613,0.3661105,0.3662485,0.3669625,0.3671656,0.3682151,0.367982,0.3689009,0.3698241,0.3708477,0.374195,0.3783168,0.3847359,0.3930421,0.4042515,0.4092876,0.4165295,0.4226861,0.429062,0.4344611,0.4402305,0.4461873,0.451345,0.4587086,0.463619,0.467059,0.46575,0.4627008,0.4601945,0.4576803,0.4558782,0.4543153,0.4510473,0.4481257,0.4454434,0.4422041,0.4403696,0.437363,0.4346557,0.4333214,0.4324835,0.4303829,0.4288066,0.427497,0.426752,0.4256845,0.4246709,0.4244499,0.4231628,0.4228586,0.4230299,0.4230511,0.4229386,0.4243708,0.4252969,0.4268319,0.4294542,0.4316703,0.4353417,0.4392367,0.4455723,0.4519061,0.4584682,0.4665077,0.4743751,0.4839204,0.4941236,0.5053608,0.5163383,0.528305,0.5396173,0.5521875,0.5672514,0.5777079,0.5874951,0.5989801,0.6133821,0.6331452,0.6571807,0.6893569,0.7310042,0.7880827,0.8555079,0.9672572,1.058234,1.159526,1.260047,1.364788,1.468732,1.57101,1.665017,1.744203,1.824872,1.914334,1.96788,2.069139,2.108807,2.173166,2.165215,2.209029,2.239653,2.292862,2.261568,2.260369,2.277452,2.246507,2.252151,2.191102,2.147549,2.142886,2.081657,2.049001,1.987213,1.957299,1.908679,1.866802,1.836514,1.779424,1.726045,1.688678,1.644393,1.599505,1.58031,1.541105,1.505026,1.479661,1.450078,1.424045,1.399906,1.376958,1.349558,1.333441,1.3123,1.288877,1.270366,1.255994,1.23977,1.216981,1.206309,1.189338,1.165563,1.148273,1.132187,1.114716,1.100793,1.08733,1.070906,1.054065,1.042396,1.032007,1.02115,1.001013,0.9896484,0.9815282,0.9686896,0.9548765,0.9423749,0.9335221,0.9274988,0.9206907,0.9103536,0.9035539,0.8956575,0.8899415,0.8850747,0.8858863,0.8774148,0.8857057,0.8840707,0.8944132,0.9080234,0.9281777,0.9682136,0.9956561,0.9880162,1.018377,1.018641,1.051131,1.064171,0.9986416,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.3578353,0.3573284,0.3560207,0.3568724,0.3607222,0.3557893,0.358667,0.3579633,0.358994,0.359277,0.3624899,0.3648358,0.3680966,0.3721407,0.3740208,0.3787729,0.3821483,0.3846225,0.3846447,0.3873944,0.3869928,0.3884296,0.3891962,0.3882978,0.3880412,0.3874614,0.3869253,0.3854379,0.3848716,0.3828084,0.3819032,0.3785984,0.3794382,0.376913,0.3754008,0.3748493,0.3724788,0.3719343,0.3706138,0.3698113,0.3688115,0.3689436,0.3672923,0.3667004,0.366556,0.366278,0.3654394,0.3654002,0.3649029,0.3654431,0.3654614,0.3659878,0.3662765,0.3665883,0.3671157,0.367158,0.3685586,0.3695082,0.3733686,0.3776399,0.3846038,0.3926134,0.4037961,0.4112992,0.4166206,0.4226813,0.4285138,0.4346834,0.4396463,0.4456963,0.4504118,0.4565872,0.4627686,0.4663255,0.4645386,0.4606801,0.4588313,0.4562701,0.4544049,0.4522509,0.4488571,0.4469233,0.4440032,0.44116,0.4385778,0.4350972,0.4326924,0.4314738,0.4295841,0.4282385,0.4272448,0.4254725,0.4245568,0.4238892,0.4224597,0.4222887,0.421391,0.4214278,0.4207999,0.4213325,0.4212669,0.4226351,0.4236978,0.4255418,0.4275195,0.4303035,0.4336299,0.4378543,0.4443462,0.4500427,0.4569963,0.4651027,0.4735824,0.483164,0.4931897,0.5044776,0.5164173,0.5278937,0.5398616,0.5519276,0.5680299,0.5784748,0.5886542,0.6001524,0.61535,0.6339135,0.6597686,0.6915069,0.7366365,0.793097,0.8628314,0.9765573,1.069073,1.170874,1.27606,1.385952,1.485668,1.591207,1.681554,1.772484,1.840739,1.926785,1.993787,2.047868,2.099132,2.14307,2.152854,2.212881,2.224719,2.249209,2.213561,2.2664,2.265712,2.23913,2.196231,2.176895,2.114794,2.092893,2.058837,2.032247,1.972577,1.933361,1.893111,1.832872,1.792843,1.743069,1.703682,1.654242,1.621155,1.578637,1.553035,1.518568,1.474299,1.45761,1.425562,1.401706,1.37996,1.361275,1.328038,1.309952,1.294402,1.275287,1.258798,1.242077,1.227414,1.206921,1.187467,1.171253,1.153497,1.133829,1.11578,1.101124,1.088816,1.075873,1.061096,1.045404,1.032365,1.019693,1.007335,0.9967455,0.982004,0.9675845,0.9593201,0.9452037,0.936552,0.922874,0.9161703,0.9104499,0.9003829,0.8927023,0.8880489,0.8775128,0.872774,0.8753837,0.8680616,0.8710079,0.880041,0.8853777,0.9082141,0.9138875,0.9481521,0.9685254,0.9993055,1.040679,1.035287,1.026789,1.067543,1.009857,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.3550325,0.356788,0.3567891,0.3570404,0.3545904,0.3553504,0.3564033,0.3573026,0.3590645,0.3600319,0.3622331,0.3654602,0.367134,0.3716023,0.3753679,0.3790447,0.3817449,0.3833615,0.3858241,0.3873172,0.3875339,0.3888417,0.3884711,0.3882627,0.3879543,0.3877108,0.3869007,0.3856219,0.3849793,0.3824547,0.3811825,0.3787242,0.3792738,0.3770956,0.3759619,0.3749987,0.3739358,0.3723157,0.3708556,0.3695002,0.3687269,0.3689254,0.3684677,0.3676177,0.3665939,0.3664287,0.3663257,0.3661506,0.3658093,0.3656538,0.3654333,0.3656814,0.3664404,0.3667003,0.3677965,0.3681644,0.3675878,0.3685144,0.3733795,0.3781823,0.3843955,0.3924766,0.4030196,0.4103254,0.4168917,0.4232584,0.429133,0.4337135,0.4391373,0.4453884,0.4509524,0.457159,0.4626058,0.4661582,0.4642325,0.461149,0.4587545,0.4561759,0.4549302,0.4533331,0.4502051,0.446777,0.4444242,0.4412772,0.438828,0.4351092,0.433082,0.4310337,0.4307643,0.4290533,0.4276072,0.426017,0.4254998,0.4238927,0.4226784,0.4226157,0.4217932,0.4212412,0.4211802,0.4213523,0.4213678,0.4227191,0.4237669,0.4259357,0.4277349,0.4307341,0.4342584,0.4374436,0.4446783,0.4506411,0.4572098,0.4643851,0.4737176,0.4828743,0.4940682,0.5053295,0.5155438,0.5278859,0.5402272,0.5516823,0.5677829,0.5787986,0.5889708,0.6001801,0.6154868,0.6351816,0.6595701,0.6924779,0.7354522,0.7942166,0.8628227,0.9742777,1.068661,1.169993,1.278456,1.378889,1.490413,1.590233,1.680909,1.76064,1.854579,2.015599,1.983626,2.04583,2.105376,2.147402,2.188784,2.215967,2.250984,2.240664,2.259352,2.279065,2.233536,2.216616,2.234554,2.177358,2.118513,2.120717,2.066239,2.017546,1.963183,1.930984,1.884897,1.856402,1.807398,1.821413,1.70026,1.663909,1.631453,1.583069,1.551783,1.508173,1.47691,1.458388,1.43225,1.401849,1.384356,1.361208,1.333605,1.312326,1.296725,1.273159,1.261315,1.240707,1.228832,1.207277,1.193016,1.171668,1.156393,1.137526,1.118706,1.104275,1.089172,1.074747,1.057919,1.046279,1.035396,1.022739,1.00952,0.9989067,0.9857606,0.9683918,0.9555725,0.9475018,0.9364546,0.926351,0.9170566,0.9072253,0.8994745,0.8959364,0.8889074,0.882834,0.8824745,0.8714538,0.8725718,0.8781444,0.8807259,0.8844491,0.9052264,0.9346339,0.9644184,0.9888875,0.9987918,1.035832,1.029407,1.059397,1.055304,1.025178,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.3569056,0.3583045,0.3593248,0.3559192,0.3552827,0.3550247,0.3594223,0.3582423,0.359309,0.3603299,0.3630483,0.3659422,0.3677661,0.3725102,0.3749388,0.3779,0.3820664,0.3841792,0.3860456,0.3877302,0.387789,0.389521,0.3884509,0.3882178,0.388946,0.3876861,0.3873316,0.3858085,0.3860358,0.3832918,0.3820812,0.3807259,0.380162,0.3780238,0.3761435,0.375528,0.3736176,0.3725827,0.370944,0.3697145,0.3691732,0.3684087,0.3680084,0.3672698,0.3662483,0.3666171,0.3664162,0.3657906,0.3660739,0.3663281,0.3653228,0.3662189,0.3669799,0.3676535,0.3667521,0.3679681,0.368738,0.3707346,0.3730388,0.3778956,0.3852156,0.3924425,0.4036934,0.4104224,0.4170142,0.4236371,0.4297727,0.4337234,0.4399122,0.4457814,0.4510429,0.4567566,0.4623491,0.4671353,0.4654431,0.4607582,0.4582987,0.4568261,0.4551826,0.4529645,0.4504038,0.4464978,0.4443515,0.441162,0.4389552,0.4360357,0.4332819,0.4319258,0.4302135,0.4285992,0.42721,0.426044,0.4250441,0.424471,0.4235474,0.4229585,0.4218324,0.4211505,0.4210872,0.4213901,0.4212245,0.4232431,0.4243631,0.4261343,0.4281166,0.4314896,0.4338153,0.438479,0.4444742,0.4502454,0.4573655,0.4653281,0.474555,0.482496,0.4943417,0.5049244,0.516124,0.5274017,0.5403902,0.5517804,0.5685966,0.5791006,0.5892112,0.6007004,0.6148224,0.634907,0.6593823,0.6928225,0.7359301,0.7927057,0.8627875,0.9746425,1.069414,1.171991,1.276186,1.383193,1.489039,1.591112,1.676947,1.772955,1.861357,1.927455,2.008401,2.058268,2.107088,2.149627,2.185231,2.207557,2.224821,2.28319,2.257697,2.247691,2.251878,2.228244,2.228809,2.18559,2.16853,2.111323,2.092994,2.030432,1.980914,1.953709,1.898959,1.844322,1.802438,1.770943,1.707696,1.669378,1.626456,1.576438,1.546191,1.515633,1.488977,1.45749,1.432535,1.413062,1.387832,1.369054,1.332937,1.314929,1.302748,1.275127,1.262115,1.243647,1.223148,1.211322,1.198808,1.175764,1.154887,1.138704,1.125376,1.107943,1.087772,1.073047,1.060726,1.047356,1.035528,1.021126,1.012528,0.9957824,0.9881632,0.972995,0.9571731,0.9510208,0.9424627,0.9276252,0.9191647,0.9091284,0.906397,0.8987889,0.8901451,0.882616,0.8742671,0.8726509,0.8731817,0.875747,0.8820798,0.8918445,0.9035245,0.9384648,0.9630037,0.9919609,1.00027,1.017828,1.071697,1.01462,1.058608,1.094929,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.354826,0.3571689,0.35801,0.3569259,0.3536122,0.3555385,0.3565341,0.3568181,0.3589752,0.3589409,0.3612392,0.366157,0.3684524,0.3716429,0.3754454,0.3795269,0.3840854,0.3836574,0.3868395,0.3865959,0.3873751,0.3892466,0.3892797,0.388843,0.3882846,0.3867977,0.3873489,0.3856318,0.3852977,0.383458,0.3815573,0.3805921,0.3788775,0.3779925,0.37655,0.3748778,0.374141,0.3722642,0.3712116,0.3702449,0.3693198,0.3683678,0.3683296,0.3665816,0.3662996,0.3661207,0.366414,0.3659025,0.365512,0.3661453,0.3655026,0.366543,0.366546,0.3671615,0.3672148,0.3678646,0.3685738,0.3702502,0.3735106,0.3786745,0.3852044,0.3924607,0.4024329,0.4109388,0.4168077,0.4241352,0.4285529,0.4345303,0.4404944,0.4449357,0.4503767,0.4576605,0.4629925,0.4662621,0.465503,0.4614203,0.458198,0.4573379,0.4549117,0.4527507,0.4498014,0.4468971,0.4443537,0.4413087,0.4394296,0.43574,0.4330232,0.4314988,0.4300982,0.4290812,0.4272137,0.4261216,0.4252879,0.4244516,0.4228712,0.4228379,0.4218495,0.4216681,0.421491,0.4212273,0.4221044,0.4227822,0.4241252,0.425118,0.4283387,0.431162,0.4344089,0.4381288,0.4444807,0.4510045,0.4576305,0.4650203,0.4736406,0.4835446,0.4942559,0.5048181,0.5163553,0.528276,0.5400383,0.552597,0.5677958,0.5789452,0.5883759,0.6000207,0.6146451,0.6338506,0.659066,0.6918011,0.7351469,0.7919392,0.8619798,0.973202,1.069777,1.169365,1.269572,1.377072,1.481603,1.584175,1.674546,1.772846,1.844777,1.933382,1.98257,2.063669,2.10205,2.151347,2.199525,2.182891,2.24283,2.208365,2.282851,2.237472,2.270007,2.243713,2.258327,2.184082,2.134975,2.120472,2.046405,2.026759,1.963992,1.941121,1.893061,1.840413,1.800202,1.767217,1.698886,1.654955,1.620214,1.590271,1.551783,1.522066,1.489996,1.458787,1.442684,1.410881,1.386414,1.358762,1.335935,1.320308,1.301454,1.280689,1.262329,1.243786,1.224309,1.208785,1.190892,1.17163,1.159619,1.133552,1.122727,1.106862,1.089299,1.075304,1.060288,1.048904,1.036126,1.023939,1.012725,0.9979605,0.9877274,0.968144,0.9575607,0.9485198,0.9404362,0.9288375,0.9184169,0.9062108,0.9046022,0.8951429,0.8890369,0.8846669,0.8792557,0.8776789,0.8798717,0.8810086,0.8822517,0.8907451,0.9023936,0.9252685,0.957644,0.99115,1.023212,1.022002,1.022647,1.053273,1.07451,1.100843,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.3571824,0.3572221,0.3547565,0.3577053,0.3549399,0.3571965,0.3556703,0.3570654,0.3598268,0.360088,0.3621568,0.3649561,0.3675352,0.3710172,0.3764053,0.3787327,0.3812982,0.3846282,0.3858049,0.3869098,0.3870448,0.3877009,0.3886276,0.3878056,0.3876044,0.3883636,0.3871567,0.3851338,0.3846122,0.3823986,0.3818325,0.3793614,0.3782861,0.3780671,0.3751504,0.3751719,0.3732196,0.3723274,0.3706301,0.3695624,0.3692236,0.367223,0.3671388,0.3669469,0.3661302,0.3661429,0.3654769,0.3654725,0.3651822,0.3652997,0.3660206,0.3664198,0.3658606,0.3666421,0.3675508,0.3678991,0.3679672,0.3696144,0.373904,0.3784095,0.3849802,0.3933365,0.4032247,0.4107066,0.4163425,0.4228339,0.4286875,0.4349726,0.4391571,0.4445959,0.4515565,0.4571995,0.4628882,0.4658566,0.465266,0.4618851,0.4583659,0.4557241,0.4545414,0.4523508,0.4498772,0.4465348,0.4446531,0.440848,0.4389101,0.4354644,0.4325359,0.4314257,0.4295067,0.4282013,0.4267747,0.4257952,0.4252434,0.4234643,0.4223938,0.4222336,0.4213075,0.4207644,0.4212317,0.4209315,0.4221778,0.4221619,0.4231794,0.4255915,0.4278929,0.4300867,0.4331475,0.4380324,0.4445779,0.4504579,0.4571238,0.4647143,0.473863,0.4835831,0.4937912,0.5042177,0.5160357,0.5277064,0.5396907,0.5519031,0.5676128,0.5787592,0.5881202,0.6000207,0.6163205,0.6347308,0.6595539,0.6920927,0.7363531,0.792568,0.8637859,0.9789585,1.070897,1.173726,1.280192,1.383178,1.491886,1.588575,1.687694,1.772593,1.843029,1.908957,1.975941,2.056598,2.107088,2.141466,2.187004,2.180031,2.220055,2.232491,2.252663,2.264716,2.228759,2.234701,2.232038,2.142732,2.16238,2.094509,2.072811,2.028225,1.965324,1.923666,1.89197,1.860597,1.790576,1.748655,1.688367,1.654866,1.617208,1.581179,1.543044,1.511942,1.478315,1.459727,1.425431,1.402315,1.378825,1.365619,1.326124,1.311513,1.294551,1.273535,1.256775,1.240624,1.226721,1.209872,1.19229,1.174306,1.155676,1.133192,1.115333,1.102761,1.087485,1.069375,1.056506,1.047723,1.031477,1.018418,1.008204,0.9956527,0.9815206,0.9648187,0.9543839,0.9423937,0.9368554,0.9273417,0.9207193,0.9058256,0.901766,0.8917209,0.8872039,0.8792633,0.8765357,0.8722969,0.8680175,0.8756307,0.8745254,0.8917546,0.8952988,0.9354519,0.9490215,0.9894251,0.9969346,1.034689,1.025146,1.012878,1.021672,1.02459,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.3547277,0.3570271,0.3575507,0.3556527,0.3563817,0.3545867,0.3566308,0.3568541,0.3604725,0.3605286,0.3619924,0.3647155,0.3691897,0.3723712,0.3753001,0.3789026,0.3825315,0.3842977,0.3853705,0.3866172,0.3870474,0.3887521,0.3881834,0.3897274,0.3884088,0.3873059,0.3871395,0.3859583,0.3855551,0.383458,0.3817692,0.3801669,0.3789499,0.3774945,0.3761746,0.3754971,0.3742023,0.3717916,0.3706649,0.3697629,0.3692672,0.3684201,0.3678389,0.3668281,0.3663709,0.366972,0.3652941,0.3664911,0.3660039,0.3652346,0.3663287,0.3671854,0.3664123,0.3660029,0.3674452,0.3677526,0.3690514,0.3701307,0.3728992,0.3780874,0.3849959,0.3927296,0.4034998,0.4101195,0.4172903,0.422783,0.4282643,0.4344167,0.440253,0.4438398,0.4510253,0.4568603,0.4637082,0.465573,0.4649445,0.4614716,0.4592492,0.4577866,0.4550552,0.453743,0.4504239,0.4472378,0.4444627,0.4414428,0.438945,0.4364517,0.4337269,0.4315949,0.430416,0.4288225,0.4282212,0.4265387,0.4250708,0.4247788,0.4235909,0.4225951,0.4219006,0.4220046,0.4221016,0.4212109,0.4221598,0.4232577,0.4243004,0.4255371,0.4282923,0.4307884,0.4342008,0.4382525,0.4439771,0.4506886,0.4577897,0.4655469,0.4742654,0.4828935,0.4943077,0.5047247,0.5159249,0.527967,0.5390539,0.5517415,0.5674214,0.5783633,0.5874884,0.6002564,0.6143625,0.6335945,0.6588034,0.690695,0.7330965,0.7904658,0.8600373,0.9718398,1.064104,1.165252,1.268182,1.37483,1.480422,1.575003,1.676512,1.76745,1.840485,1.926373,1.986159,2.063599,2.106154,2.151433,2.191232,2.190927,2.227378,2.250938,2.228947,2.231205,2.279653,2.266926,2.244876,2.197557,2.127701,2.139881,2.057983,2.023446,2.012198,1.948967,1.918147,1.862733,1.802886,1.753139,1.699409,1.678795,1.627777,1.587935,1.55628,1.520799,1.487136,1.467628,1.442042,1.410095,1.386012,1.372431,1.340407,1.325216,1.300104,1.277236,1.264307,1.247419,1.230734,1.209965,1.196603,1.179784,1.164781,1.136774,1.125629,1.104999,1.092439,1.079337,1.064319,1.049618,1.037713,1.02242,1.012967,1.000259,0.9840726,0.9738998,0.9655402,0.9479888,0.9402723,0.9342524,0.9183729,0.9123001,0.9034361,0.8958673,0.8917773,0.8899169,0.8795661,0.8842463,0.8749416,0.8776771,0.8892046,0.8887998,0.9117991,0.9356226,0.9630037,0.9862093,1.02799,1.047255,1.090329,1.093867,1.057229,0.9572237,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.3540204,0.3538412,0.3542031,0.3558583,0.3543987,0.3542991,0.3565057,0.3575193,0.3576143,0.3580933,0.3614554,0.3635111,0.3669461,0.3715211,0.3737056,0.378128,0.3819407,0.3842272,0.3843884,0.3861707,0.3874272,0.388381,0.3892822,0.3887079,0.3876317,0.3877578,0.3871543,0.38495,0.3852756,0.3828303,0.3820007,0.3793056,0.3796051,0.3769683,0.3753674,0.3745933,0.3726785,0.3720138,0.3704581,0.3700926,0.3685988,0.3676225,0.3673961,0.3671106,0.3658006,0.3664996,0.3653183,0.3650693,0.3654814,0.3654605,0.3656998,0.3664998,0.3660265,0.3666443,0.3663865,0.3674358,0.3683276,0.3689038,0.3728163,0.3776047,0.3841874,0.3924744,0.4021328,0.4097601,0.4162945,0.4230764,0.4283499,0.4339256,0.4392366,0.4449607,0.4498067,0.4582819,0.4623135,0.4653983,0.4640336,0.461961,0.4583395,0.4560747,0.4549719,0.451763,0.4497635,0.4468251,0.4451134,0.4410678,0.4387316,0.4356281,0.432759,0.4318257,0.4303743,0.4283054,0.4275596,0.4258637,0.4256085,0.4239489,0.4233578,0.4226949,0.421742,0.4216883,0.4208381,0.4209381,0.421705,0.4223686,0.4242795,0.426184,0.4284234,0.4307022,0.4342424,0.4384292,0.4441713,0.450404,0.4579057,0.4641266,0.4736834,0.4826895,0.4935769,0.5043439,0.5155926,0.5274634,0.5389766,0.5510103,0.5672833,0.5774919,0.5866855,0.5994529,0.6132579,0.633617,0.6571887,0.6901836,0.7321539,0.7876444,0.858882,0.9672179,1.061218,1.160755,1.26895,1.368939,1.467818,1.567347,1.663496,1.737578,1.827326,1.910494,1.987223,2.048276,2.085124,2.120185,2.141509,2.173549,2.244854,2.226922,2.26068,2.246723,2.237838,2.229797,2.233714,2.178472,2.139467,2.098768,2.064719,2.012497,1.972459,1.960344,1.887977,1.848536,1.80744,1.762773,1.692724,1.661336,1.623965,1.586126,1.555212,1.53014,1.48989,1.460549,1.439776,1.413946,1.387219,1.360958,1.33939,1.314065,1.29524,1.28253,1.263403,1.245459,1.229693,1.20852,1.195739,1.176018,1.16228,1.137938,1.11873,1.106839,1.093495,1.074282,1.058745,1.049741,1.036747,1.025463,1.008443,0.9955555,0.9895828,0.971419,0.963155,0.9496706,0.9366604,0.9299327,0.9215264,0.9120098,0.9007199,0.8939839,0.8896378,0.8820595,0.8751373,0.87537,0.8736135,0.8732802,0.8787882,0.8852007,0.9111401,0.9210894,0.9510987,0.9728017,1.004997,0.9976892,1.067639,1.007694,0.9538925,0.9686968,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.3552785,0.3534194,0.3587491,0.3571091,0.3553445,0.3545179,0.3565114,0.3576328,0.3600953,0.3614503,0.3635792,0.3659648,0.3695178,0.3722221,0.3766868,0.3782761,0.3827745,0.3847553,0.3874181,0.3872746,0.3879011,0.3891851,0.3896922,0.3883078,0.3891401,0.3882102,0.3876668,0.3866909,0.3855551,0.3846424,0.3829035,0.3807891,0.3792399,0.3785754,0.37622,0.3759961,0.3744832,0.3733143,0.3717915,0.3707759,0.3699044,0.3688161,0.3687213,0.368717,0.3665694,0.3668899,0.3658118,0.3663768,0.3661374,0.3659104,0.3656976,0.3673283,0.3669885,0.3671658,0.3682215,0.3679056,0.3696205,0.3704087,0.3738887,0.3786612,0.3843351,0.3927775,0.4037705,0.4116742,0.417127,0.4224947,0.4286238,0.4346044,0.4400216,0.4457063,0.4513676,0.4577898,0.4631707,0.4671632,0.4653309,0.4614985,0.4594655,0.4576048,0.4563728,0.4533695,0.4503033,0.4477799,0.4452805,0.4423868,0.439064,0.4365437,0.4343649,0.4329779,0.4308647,0.4300954,0.4280671,0.4270827,0.4266091,0.4253513,0.4244215,0.4234637,0.422814,0.4218969,0.4222997,0.4219249,0.4229304,0.4233855,0.4248684,0.4270487,0.4291146,0.4313458,0.4349792,0.43919,0.4453645,0.4516601,0.4585862,0.4656749,0.475437,0.4838854,0.494424,0.5043403,0.5162199,0.5278859,0.5390717,0.5516863,0.5674852,0.5784158,0.5879656,0.6002656,0.6148584,0.6333987,0.6577895,0.6897628,0.7328089,0.7882965,0.8579078,0.9690158,1.063641,1.16495,1.264442,1.375104,1.470277,1.581584,1.664199,1.764458,1.851142,1.899172,1.988113,2.041718,2.099056,2.130408,2.189913,2.224237,2.218143,2.23135,2.266033,2.270808,2.225363,2.242964,2.23825,2.193692,2.158803,2.122111,2.096787,2.026892,2.022199,1.942336,1.901482,1.876929,1.821947,1.778646,1.722823,1.692649,1.636767,1.602761,1.569229,1.524452,1.50362,1.469488,1.444106,1.413136,1.393889,1.377408,1.348189,1.327484,1.312206,1.286905,1.271124,1.254251,1.241636,1.220586,1.20308,1.181107,1.168096,1.143844,1.129472,1.112665,1.095416,1.082597,1.064896,1.05776,1.043048,1.027648,1.015921,1.004351,0.991545,0.9812396,0.9629041,0.9518941,0.9435731,0.9349506,0.9260092,0.9152364,0.9071376,0.9003676,0.8962796,0.8899661,0.8911854,0.8772657,0.878996,0.8808237,0.8829593,0.8904315,0.9047395,0.9366477,0.9726108,0.9873857,1.034351,0.9976144,1.038654,1.049473,1.070799,1.028131,716R007,Hansells_Vanilla_Essence_777027
hansells 777027 a,0.3566192,0.3584112,0.3561841,0.3559497,0.3553925,0.3556826,0.3572173,0.3572407,0.3587919,0.3592899,0.3614113,0.3658291,0.3676417,0.3715583,0.3754648,0.3783223,0.3828037,0.3838435,0.3850784,0.3871441,0.3879975,0.3881764,0.38809,0.3887905,0.3883617,0.3881904,0.3876052,0.385303,0.385332,0.3828303,0.3824202,0.3801305,0.3787181,0.3768962,0.3770096,0.3753119,0.3732855,0.3730351,0.3702142,0.3697606,0.3690839,0.3683109,0.3677078,0.3670388,0.3660901,0.3667302,0.3656201,0.3655076,0.3651931,0.3654431,0.3655893,0.3663463,0.3659618,0.3665452,0.3673375,0.3678366,0.3683535,0.3697987,0.3725785,0.3781866,0.3847897,0.3917004,0.4029776,0.4102567,0.4161867,0.4227297,0.4293903,0.433339,0.4398078,0.4452858,0.4503163,0.457587,0.4625168,0.4662342,0.4647776,0.461589,0.4593117,0.4561782,0.4547311,0.4528258,0.4499151,0.4471657,0.4451241,0.441206,0.4393351,0.4362476,0.4342274,0.4308129,0.4295615,0.4295396,0.427937,0.4259484,0.4254927,0.4245659,0.4232935,0.4226777,0.4217949,0.4212144,0.4217405,0.4212323,0.4221337,0.4223718,0.4235404,0.4259037,0.4281117,0.4308506,0.4343433,0.4385208,0.4441195,0.450664,0.4571734,0.4647244,0.473603,0.4830907,0.4937198,0.5044226,0.516995,0.5284267,0.5397304,0.5515127,0.5677212,0.5788949,0.5884117,0.6001778,0.6149207,0.6338481,0.65826,0.6917633,0.7347931,0.791653,0.8607582,0.971517,1.067923,1.167433,1.274706,1.382943,1.48275,1.585676,1.675933,1.747059,1.837956,1.919373,1.981692,2.056668,2.099362,2.151088,2.138739,2.220587,2.214543,2.228359,2.237689,2.248338,2.275378,2.264672,2.211715,2.196491,2.147202,2.101501,2.063565,2.017351,1.972695,1.930876,1.885873,1.855577,1.80305,1.767028,1.697061,1.666681,1.630064,1.581357,1.559206,1.519445,1.485218,1.454849,1.431852,1.408182,1.389554,1.364945,1.336432,1.311973,1.296004,1.279442,1.264149,1.243716,1.232893,1.206631,1.192977,1.177215,1.158549,1.136726,1.121355,1.105912,1.091606,1.077025,1.062411,1.047478,1.032915,1.020075,1.012177,1.000051,0.9872049,0.9663174,0.9622502,0.95077,0.934305,0.9292206,0.9214157,0.9129707,0.9007873,0.8945802,0.8894846,0.884132,0.8799157,0.8800417,0.8766338,0.8750834,0.8816026,0.8921592,0.9017218,0.9250686,0.9477386,0.9800588,0.9918521,1.024622,0.9940916,1.040234,1.057504,1.030507,716R007,Hansells_Vanilla_Essence_777027
